Order_ID,Order_Date,Product_Name,Category,Sub_Category,Price,Quantity,Discount,Revenue,Customer_Rating,City,State,Payment_Method,Delivery_Time_Min,Customer_Type,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Discount_Amount,Gross_Amount,Is_Weekend
BLK100000,2024-10-16,Broccoli (500g),Fruits & Vegetables,Exotic Produce,146.12,1,0.01,159.12,5.0,Delhi,Delhi,Upi,25,New,2024,10,Oct,Q4,Wednesday,42,1.46,146.12,Weekday
BLK100001,2024-03-08,Apples (1kg),Fruits & Vegetables,Fresh Fruits,43.27,3,0.08,95.54,4.0,Mumbai,Maharashtra,Debit Card,30,Regular,2024,3,Mar,Q1,Friday,10,10.38,129.81,Weekday
BLK100002,2024-07-12,Green Tea (25 bags),Beverages,Tea & Coffee,126.24,1,0.2,88.87,3.0,Pune,Maharashtra,Debit Card,20,Premium,2024,7,Jul,Q3,Friday,28,25.25,126.24,Weekday
BLK100003,2023-12-15,Bingo Mad Angles (38g),Snacks & Munchies,Chips & Crisps,24.31,1,0.05,26.56,5.0,Chennai,Tamil Nadu,Debit Card,19,Regular,2023,12,Dec,Q4,Friday,50,1.22,24.31,Weekday
BLK100004,2023-02-14,Farm Fresh Eggs (6pcs),Meat & Seafood,Eggs,117.58,2,0.08,151.44,5.0,Chandigarh,Punjab,Debit Card,41,Regular,2023,2,Feb,Q1,Tuesday,7,18.81,235.16,Weekday
BLK100005,2024-01-06,Coca Cola 500ml,Beverages,Cold Drinks,72.9,1,0.15,46.47,5.0,Lucknow,Uttar Pradesh,Upi,42,Regular,2024,1,Jan,Q1,Saturday,1,10.94,72.9,Weekend
BLK100006,2023-04-14,Dove Shampoo (650ml),Personal Care,Hair Care,123.44,4,0.1,377.73,3.0,Pune,Maharashtra,Blinkit Wallet,37,Regular,2023,4,Apr,Q2,Friday,15,49.38,493.76,Weekday
BLK100007,2024-10-25,Saffola Gold (1L),Staples,Oils & Ghee,420.48,1,0.05,439.4,3.0,Delhi,Delhi,Blinkit Wallet,16,New,2024,10,Oct,Q4,Friday,43,21.02,420.48,Weekday
BLK100008,2024-10-17,Godrej Yummiez Nuggets (250g),Frozen Foods,Frozen Snacks,265.43,1,0.03,283.21,4.0,Chandigarh,Punjab,Cash On Delivery,16,Regular,2024,10,Oct,Q4,Thursday,42,7.96,265.43,Weekday
BLK100009,2024-02-15,Epigamia Greek Yogurt (90g),Dairy & Breakfast,Milk & Curd,108.25,2,0.1,136.39,4.0,Chennai,Tamil Nadu,Cash On Delivery,20,Regular,2024,2,Feb,Q1,Thursday,7,21.65,216.5,Weekday
BLK100010,2024-10-20,Parle-G (250g),Snacks & Munchies,Cookies & Biscuits,37.13,2,0.04,78.42,3.0,Ahmedabad,Gujarat,Credit Card,33,Regular,2024,10,Oct,Q4,Sunday,42,2.97,74.26,Weekend
BLK100011,2024-08-20,Harpic Toilet Cleaner (500ml),Household,Cleaning Supplies,147.0,1,0.0,135.24,4.0,Pune,Maharashtra,Upi,18,New,2024,8,Aug,Q3,Tuesday,34,0.0,147.0,Weekday
BLK100012,2023-06-13,Johnson's Baby Powder (200g),Baby Care,Baby Hygiene,190.82,2,0.07,301.69,5.0,Noida,Uttar Pradesh,Blinkit Wallet,23,Regular,2023,6,Jun,Q2,Tuesday,24,26.71,381.64,Weekday
BLK100013,2023-01-12,Amul Ghee (500ml),Dairy & Breakfast,Butter & Cheese,197.68,1,0.05,140.85,4.0,Surat,Gujarat,Credit Card,24,Regular,2023,1,Jan,Q1,Thursday,2,9.88,197.68,Weekday
BLK100014,2024-04-09,Oral-B Toothbrush Medium,Personal Care,Oral Care,141.69,2,0.06,226.42,2.0,Mumbai,Maharashtra,Credit Card,28,New,2024,4,Apr,Q2,Tuesday,15,17.0,283.38,Weekday
BLK100015,2023-07-23,Scotch-Brite Scrubber,Household,Cleaning Supplies,240.23,2,0.23,325.56,3.0,Bengaluru,Karnataka,Upi,19,Premium,2023,7,Jul,Q3,Sunday,29,110.51,480.46,Weekend
BLK100016,2023-01-20,Surf Excel Liquid (1kg),Household,Laundry,101.43,1,0.24,57.82,5.0,Delhi,Delhi,Debit Card,10,Premium,2023,1,Jan,Q1,Friday,3,24.34,101.43,Weekday
BLK100017,2023-03-12,Haldirams Frozen Samosa (400g),Frozen Foods,Frozen Snacks,225.15,5,0.08,828.55,5.0,Noida,Uttar Pradesh,Cash On Delivery,31,Premium,2023,3,Mar,Q1,Sunday,10,90.06,1125.75,Weekend
BLK100018,2024-03-09,Godrej Real Good Meal,Frozen Foods,Frozen Meals,222.59,1,0.1,160.26,2.0,Hyderabad,Telangana,Credit Card,19,Regular,2024,3,Mar,Q1,Saturday,10,22.26,222.59,Weekend
BLK100019,2024-06-13,Mother Dairy Curd (400g),Dairy & Breakfast,Milk & Curd,31.08,3,0.06,74.5,4.0,Ahmedabad,Gujarat,Upi,33,New,2024,6,Jun,Q2,Thursday,24,5.59,93.24,Weekday
BLK100020,2023-03-14,Bananas (dozen),Fruits & Vegetables,Fresh Fruits,110.54,1,0.06,83.13,4.0,Chandigarh,Punjab,Upi,22,Premium,2023,3,Mar,Q1,Tuesday,11,6.63,110.54,Weekday
BLK100021,2024-05-12,Amul Corn Pizza (200g),Frozen Foods,Frozen Snacks,206.77,1,0.05,176.79,5.0,Hyderabad,Telangana,Upi,21,New,2024,5,May,Q2,Sunday,19,10.34,206.77,Weekend
BLK100022,2023-04-10,Pampers Premium M (20pcs),Baby Care,Diapers,376.11,1,0.06,300.51,5.0,Surat,Gujarat,Blinkit Wallet,35,Premium,2023,4,Apr,Q2,Monday,15,22.57,376.11,Weekday
BLK100023,2023-04-11,Sebamed Baby Lotion (200ml),Baby Care,Baby Hygiene,332.2,1,0.02,276.72,4.0,Mumbai,Maharashtra,Credit Card,25,New,2023,4,Apr,Q2,Tuesday,15,6.64,332.2,Weekday
BLK100024,2024-03-08,Pantene Conditioner (180ml),Personal Care,Hair Care,401.05,2,0.08,590.35,3.0,Bengaluru,Karnataka,Upi,25,New,2024,3,Mar,Q1,Friday,10,64.17,802.1,Weekday
BLK100025,2024-10-29,Apples (1kg),Fruits & Vegetables,Fresh Fruits,36.63,5,0.03,195.42,5.0,Jaipur,Rajasthan,Blinkit Wallet,27,Regular,2024,10,Oct,Q4,Tuesday,44,5.49,183.15,Weekday
BLK100026,2023-06-18,Potatoes (1kg),Fruits & Vegetables,Fresh Vegetables,75.22,5,0.04,306.9,5.0,Pune,Maharashtra,Blinkit Wallet,37,Regular,2023,6,Jun,Q2,Sunday,24,15.04,376.1,Weekend
BLK100027,2024-07-23,Boneless Chicken Breast (500g),Meat & Seafood,Chicken,188.24,2,0.17,274.98,5.0,Surat,Gujarat,Upi,32,Premium,2024,7,Jul,Q3,Tuesday,30,64.0,376.48,Weekday
BLK100028,2023-11-18,Zucchini (500g),Fruits & Vegetables,Exotic Produce,215.77,1,0.08,238.21,3.0,Mumbai,Maharashtra,Upi,24,Premium,2023,11,Nov,Q4,Saturday,46,17.26,215.77,Weekend
BLK100029,2023-07-10,Fortune Toor Dal (500g),Staples,Rice & Dal,191.32,1,0.16,141.42,4.0,Delhi,Delhi,Credit Card,26,Premium,2023,7,Jul,Q3,Monday,28,30.61,191.32,Weekday
BLK100030,2024-09-26,Chicco Baby Oil (200ml),Baby Care,Baby Hygiene,252.18,1,0.04,229.99,4.0,Delhi,Delhi,Debit Card,29,Regular,2024,9,Sep,Q3,Thursday,39,10.09,252.18,Weekday
